qc_id,식당이�,시도,시군구,주소,카테고�,경도,위도,x,y,횟수
"0",꿈꾸는아저씨,경상남도,남해군,경상남도 남해군 삼동면 양화금로 59-1,숙박>여관,1280411944,348230910,128.041194399999995,34.823090999999998,3
"1",나포레호텔,서울특별시,종로구,서울특별시 종로구 수표로18가길 17,숙박>호텔,1269907377,375690307,126.990737699999997,37.569030699999999,4
"2",다빈치호텔,전라남도,순천시,전라남도 순천시 팔마로 320,숙박>모텔,1275179146,349346996,127.517914599999997,34.934699600000002,85
"3",더시티,전라남도,목포시,전라남도 목포시 남악1로52번길 23-6,숙박>호텔,1264476166,348112969,126.447616600000003,34.811296900000002,2
"4",더시티호텔,전라북도,군산시,전북특별자치도 군산시 소룡1길 49,숙박>호텔,1266760587,359730295,126.676058699999999,35.973029500000003,3
"5",더원비지니스호텔,전라남도,강진군,전라남도 강진군 강진읍 영랑로 17,숙박>호텔,1267689749,346373574,126.768974900000003,34.637357399999999,10
"6",디앤와이호텔,경상북도,경주시,경상북도 경주시 진현로1길 4,숙박>호텔,1293243148,357820249,129.324314799999996,35.782024900000003,3
"7",렉시,대전광역시,유성구,대전광역시 유성구 온천로107번길 37 렉시호텔,숙박>모텔,1273503884,363559797,127.350388400000000,36.355979699999999,3
"8",문막센트럴호텔,강원특별자치도,원주시,강원특별자치도 원주시 문막읍 왕건로 11,숙박>호텔,1278308521,373209323,127.830852100000001,37.320932300000003,13
"9",미래로,울산광역시,남구,울산광역시 남구 번영로 29 상가 210동 101호,부동산>중개업,1293300834,355279126,129.330083400000007,35.527912600000001,2
"10",비에디션,대전광역시,유성구,대전광역시 유성구 계룡로 127,"서비스,산업>기업",1273446960,363531888,127.344695999999999,36.353188799999998,5
"11",세컨하우스,전라남도,담양군,전라남도 담양군 수북면 추성1로 823,건설업>전문건설업,1269401975,353059721,126.940197499999996,35.305972099999998,4
"12",아델,경상북도,경주시,경상북도 경주시 보덕로 143-4 아델 펜션,숙박>펜션,1293019070,358541259,129.301907000000000,35.854125900000000,6
"13",안앤조,서울특별시,동대문구,서울특별시 동대문구 왕산로 226,"서비스,산업>기업",1270476189,375817031,127.047618900000003,37.581703099999999,2
"14",워라벨,전라남도,고흥군,전라남도 고흥군 고흥읍 봉동주공길 91,숙박>모텔,1272961951,346039020,127.296195100000006,34.603901999999998,4
"15",윈덤데이즈에이엠씨,제주특별자치도,서귀포시,제주특별자치도 서귀포시 동홍로 7,"서비스,산업>기업",1265674281,332493533,126.567428100000001,33.249353300000003,2
"16",자바,충청북도,제천시,충청북도 제천시 제2바이오밸리로7가길 23,숙박>모텔,1281527043,371533660,128.152704300000011,37.153365999999998,5
"17",지엔해운대,부산광역시,해운대구,부산광역시 해운대구 해운대해변로298번길 29,숙박>호텔,1291668240,351611226,129.166823999999991,35.161122599999999,2
"18",체리쉬,대구광역시,수성구,대구광역시 수성구 수성로 96 1층 체리쉬독,반려동물>반려동물미용,1286117141,358339761,128.611714100000000,35.833976100000001,3
"19",컨티뉴,대전광역시,서구,대전광역시 서구 월평로 53-9 컨티뉴호텔 대전점,숙박>호텔,1273628136,363566020,127.362813599999996,36.356602000000002,2
"20",탑클라우드,대전광역시,유성구,대전광역시 유성구 온천로101번길 20 탑클라우드호텔,숙박>모텔,1273494532,363553620,127.349453199999999,36.355362000000000,8
"21",하이엔드베이,서울특별시,용산구,서울특별시 용산구 한강대로71길 24,"서비스,산업>기업",1269721669,375403351,126.972166900000005,37.540335100000000,4
"22",JM호텔,경상남도,창원시,경상남도 창원시 성산구 단정로 7,숙박>모텔,1286816863,352210130,128.681686299999996,35.221012999999999,2
"23",가야호텔,경상북도,성주군,경상북도 성주군 수륜면 가야산식물원길 52 가야호텔,숙박>호텔,1281426400,358029939,128.142640000000000,35.802993899999997,2
"24",엘디스 리젠트 호텔,대구광역시,중구,대구광역시 중구 달구벌대로 2033 엘디스리젠트호텔,숙박>호텔,1285860059,358664277,128.586005900000004,35.866427700000003,8
"25",가보호텔,경기도,평택시,경기도 평택시 평택5로76번길 18-10,숙박>호텔,1271128701,369930654,127.112870099999995,36.993065399999999,1
"26",강릉씨티호텔,강원특별자치도,강릉시,강원특별자치도 강릉시 교동광장로 112,숙박>호텔,1288767565,377643820,128.876756499999999,37.764381999999998,2
"27",뉴서울호텔,서울특별시,중구,서울특별시 중구 세종대로22길 16 뉴서울호텔,숙박>호텔,1269781825,375679223,126.978182500000003,37.567922299999999,1
"28",더휴식,대전광역시,동구,대전광역시 동구 한밭대로1316번길 35 더휴식 노크인호텔 대전지점,숙박>호텔,1274393497,363507488,127.439349699999994,36.350748799999998,1
"29",동해안횟집펜션,경상북도,영덕군,경상북도 영덕군 남정면 동해대로 4198-5,한식>생선회,1293789846,363329107,129.378984599999995,36.332910699999999,1
"30",보스코아호텔,강원특별자치도,원주시,강원특별자치도 원주시 미래로 25,숙박>호텔,1279865775,373267383,127.986577499999996,37.326738300000002,1
"31",브라운도트호텔,경상남도,진주시,경상남도 진주시 에나로 103-9 6층 브라운도트호텔,숙박>호텔,1281402747,351785833,128.140274699999992,35.178583300000000,1
"32",브라운도트호텔,경상북도,안동시,경상북도 안동시 옥명길 48 브라운도트호텔 안동옥동점,숙박>호텔,1287034525,365639757,128.703452499999997,36.563975700000000,1
"33",브룩스호텔,경상남도,창원시,경상남도 창원시 마산합포구 수산1길 31 브룩스 호텔 마산점,숙박>기타숙박업,1285735034,351987283,128.573503399999993,35.198728299999999,1
