,,,,,,,,,,,,,,
,qc_id,식당이�,시도,시군구,주소,카테고�,카테��,경도,위도,x,y,방문횟�,auxiliary_,auxiliar_1
,3494,안단테153,경기도,파주시,"경기도 파주시 시민회관길 15 안단테153 1,2층",카페,,1267792824,377589759,126.7792824,37.7589759,161,,
,4322,태평식당,전라남도,목포시,전라남도 목포시 후광대로105번길 11-8,한식,,1264429232,348119999,126.4429232,34.8119999,141,,
,4644,태평식당,충청남도,홍성군,충청남도 홍성군 홍성읍 조양로 109-5,한식,,1266620999,366026820,126.6620999,36.602682,141,,
,13642,태평식당,충남,논산시,"충청남도 논산시 강경읍 옥녀봉로35번길 9 ,",해물요리,복어요리,1270165149,361616794,127.0165149,36.1616794,141,,
,3037,왓커피 백제대로점,전라북도,전주시,전북특별자치도 전주시 덕진구 백제대로 746 1층 왓커피,카페,,1271504937,358456564,127.1504937,35.8456564,120,,
,1580,북경반점,충남,서산시,충청남도 서산시 해미면 남문1로 47,중식,중식당,1265467446,367111490,126.5467446,36.711149,116,,
,1642,북경반점,충청남도,홍성군,충청남도 홍성군 홍북읍 청사로48번길 10-1 태경프라자 1층 북경반점,중식,중식당,1266756000,366478972,126.6756,36.6478972,116,,
,1658,북경반점,전북특별자치도,고창군,전북특별자치도 고창군 고창읍 보릿골로 127-6,중식,중식당,1266946620,354370400,126.694662,35.43704,116,,
,1759,북경반점,충청남도,예산군,충청남도 예산군 예산읍 창말로 15,중식,중식당,1268440060,367275900,126.844006,36.72759,116,,
,1896,북경반점,전라북도,완주군,전북특별자치도 완주군 삼례읍 동학로 110,중식,중식당,1270686595,359154229,127.0686595,35.9154229,116,,
,1938,북경반점,전라북도,순창군,전북특별자치도 순창군 순창읍 경천로 99,중식,중식당,1271424549,353706603,127.1424549,35.3706603,116,,
,1952,북경반점,충남,천안시,충청남도 천안시 동남구 충절로 139 북경반점,중식,중식당,1271589290,368066140,127.158929,36.806614,116,,
,2008,북경반점,충북,진천군,충청북도 진천군 백곡면 백곡로 929 (유)가나부동산컨설팅,중식,중식당,1273789018,368818490,127.3789018,36.881849,116,,
,2107,북경반점,충청북도,옥천군,충청북도 옥천군 이원면 이원역길 39,중식,중식당,1276193217,362446893,127.6193217,36.2446893,116,,
,2330,북경반점,경상북도,예천군,경상북도 예천군 예천읍 시장로 155 북경중화요리,중식,중식당,1284599047,366590076,128.4599047,36.6590076,116,,
,2494,북경반점,경북,영덕군,경상북도 영덕군 영해면 예주시장길 7 북경반점,중식,중식당,1294049838,365386875,129.4049838,36.5386875,116,,
,13358,이가네숯불구이,전라남도,영암군,전라남도 영암군 영암읍 서남역로 8 이가네숯불갈비,한식,돼지고기구이,1266950958,347985668,126.6950958,34.7985668,113,,
,2131,하림각,충청북도,보은군,충청북도 보은군 보은읍 교사삼산길 6 하림각,중식,중식당,1277209486,364863184,127.7209486,36.4863184,109,,
,2324,하림각,경상북도,의성군,경상북도 의성군 안계면 용기12길 77,중식,중식당,1284420057,363851761,128.4420057,36.3851761,109,,
,5475,시장식당,전북,순창군,전북특별자치도 순창군 순창읍 남계로 52,한식,,1271450130,353714419,127.145013,35.3714419,106,,
,5930,시장식당,전북,남원시,전북특별자치도 남원시 인월면 인월로 65-3 시장식당,한식,,1276022421,354614676,127.6022421,35.4614676,106,,
,7205,시장식당,경북,의성군,,한식,,1284500438,364034287,128.4500438,36.4034287,106,,
,9873,우리회관,전남,곡성군,전라남도 곡성군 곡성읍 중앙로 118,한식,"육류,고기요리",1272955500,352811167,127.29555,35.2811167,104,,
,1674,천안문,전남,나주시,전라남도 나주시 풍물시장1길 10-5,중식,중식당,1267097026,349934336,126.7097026,34.9934336,103,,
,1917,천안문,충청남도,논산시,충청남도 논산시 관촉로31번길 36-1 천안문,중식,중식당,1271135283,361918551,127.1135283,36.1918551,103,,
,1977,천안문,경기도,안성시,경기도 안성시 남파로 117 천안문 중화요리,중식,중식당,1272632530,370166776,127.263253,37.0166776,103,,
,2013,천안문,전라북도,남원시,전북특별자치도 남원시 옥정1길 133 천안문,중식,중식당,1273884356,354160416,127.3884356,35.4160416,103,,
,2050,천안문,충남,금산군,충청남도 금산군 금산읍 비단로 315 원일빌딩 1층,중식,중식당,1274881623,361098754,127.4881623,36.1098754,103,,
,2270,천안문,경상남도,의령군,경상남도 의령군 의령읍 의병로16길 23 천안문,중식,중식당,1282605850,353175430,128.260585,35.317543,103,,
,2287,천안문,경상북도,구미시,경상북도 구미시 봉곡로10길 10,중식,중식당,1283111933,361460922,128.3111933,36.1460922,103,,
,2308,천안문,경상남도,함안군,경상남도 함안군 칠원읍 경남대로 1512,중식,중식당,1285315660,352751249,128.531566,35.2751249,103,,
,2342,천안문,경상남도,창녕군,경상남도 창녕군 영산면 영산계성로 103,중식,중식당,1285246153,354601025,128.5246153,35.4601025,103,,
,430,느티나무,경상북도,문경시,경상북도 문경시 중앙로 190,술집,"맥주,호프",1282032034,366012567,128.2032034,36.6012567,97,,
,2859,느티나무,경기도,파주시,경기도 파주시 월롱면 도감로 58-73 느티나무,카페,,1267928778,377961407,126.7928778,37.7961407,97,,
,5574,별미촌,전라남도,고흥군,전라남도 고흥군 고흥읍 고흥로 1625,한식,,1272771534,345995155,127.2771534,34.5995155,97,,
,6521,느티나무,경상남도,함안군,경상남도 함안군 가야읍 도항1길 46-4,한식,,1284062268,352807131,128.4062268,35.2807131,97,,
,9811,별미촌,강원도,철원군,강원특별자치도 철원군 동송읍 금학로210번길 8-8,한식,"순대,순댓국",1272195727,382073285,127.2195727,38.2073285,97,,
,10043,별미촌,전북특별자치도,남원시,전북특별자치도 남원시 시청로 38 별미촌,한식,"순대,순댓국",1273913519,354142165,127.3913519,35.4142165,97,,
,942,미소야,전남,목포시,전라남도 목포시 장미로 25 2층,일식,돈가스,1264242330,348018874,126.424233,34.8018874,93,,
,1243,미소야,충청북도,괴산군,충청북도 괴산군 괴산읍 읍내로2길 56,일식,돈가스,1277930341,368092544,127.7930341,36.8092544,93,,
,13134,가마솥백반,경기,연천군,경기도 연천군 전곡읍 전곡로 99,한식,"백반,가정식",1270711650,380216132,127.071165,38.0216132,92,,
,7369,한우명가,인천광역시,강화군,인천광역시 강화군 내가면 중앙로 1266,한식,소고기구이,1263836996,377037652,126.3836996,37.7037652,86,,
,9277,한우명가,전라남도,담양군,전라남도 담양군 담양읍 추성로 1313 한우명가,한식,소고기구이,1269816894,353200272,126.9816894,35.3200272,86,,
,9539,한우명가,충청남도,논산시,충청남도 논산시 중앙로 365,한식,소고기구이,1270910166,361972383,127.0910166,36.1972383,86,,
,2465,온천각,강원도,삼척시,강원특별자치도 삼척시 중앙시장2길 22-16,중식,중식당,1291667328,374430965,129.1667328,37.4430965,83,,
,7799,고기굽는사람들,전라남도,함평군,전라남도 함평군 함평읍 함영로 1012,한식,"육류,고기요리",1265261834,350663417,126.5261834,35.0663417,81,,
,6937,박대감,경상북도,청송군,경상북도 청송군 진보면 진보로 89 박대감,한식,,1290417299,365298425,129.0417299,36.5298425,79,,
,13166,박대감,강원,홍천군,강원특별자치도 홍천군 홍천읍 송학강변로 15 1층,한식,"육류,고기요리",1278770344,376865848,127.8770344,37.6865848,79,,
,8844,풍년갈비,충청남도,예산군,충청남도 예산군 예산읍 역전로140번길 46,한식,"육류,고기요리",1268349463,366913226,126.8349463,36.6913226,77,,
,10838,풍년갈비,강원도,홍천군,강원특별자치도 홍천군 홍천읍 꽃뫼로 134 풍년갈비,한식,돼지고기구이,1278885380,376915800,127.888538,37.69158,77,,
,11354,풍년갈비,충북,제천시,충청북도 제천시 칠성로10길 14,한식,"육류,고기요리",1282108371,371426870,128.2108371,37.142687,77,,
,12585,풍년갈비,강원도,강릉시,강원특별자치도 강릉시 강릉대로587번길 10-5,한식,"육류,고기요리",1289193113,377851193,128.9193113,37.7851193,77,,
,3453,소담,강원도,삼척시,강원특별자치도 삼척시 사대1길 2,카페,,1291692959,374459408,129.1692959,37.4459408,73,,
